HouseDescription,Address
"
                                                Amaresa 2 Kayla Basic Model Single Attached House and Lot near Quezon City for sale
                    ","
                                
                                                                    San Jose del Monte
                                                            "
"
                                                4BR Townhouse for Sale in Sampaloc near UST
                    ","
                                
                                                                    Manila
                                                            "
"
                                                4bedrooms House and Lot in Goldstar Greenview Executive Village Qc
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                120 sqm Triplex House and Lot for Sale in Pasig near SM Aura-MD
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                4BR Townhouse near Airport and Mall of Asia
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                3bedroom House and Lot near to MRT 7 Commonwelth Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                40 Hectares, Lot, Cagayan De Oro, Misamis Oriental for Sale
                    ","
                                
                                                                    Cagayan de Oro
                                                            "
"
                                                3 BR SINGLE ATTACHED NEAR PASAY
                    ","
                                
                                                                    General Trias
                                                            "
"
                                                Mandaluyong Townhouse
                    ","
                                
                                                                    Mandaluyong
                                                            "
"
                                                Lot for sale in Tagaytay
                    ","
                                
                                                                    Laurel
                                                            "
"
                                                4-Bedroom House and Lot in BF Homes Parañaque
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                Residential House and Lot in Urdaneta City, Pangasinan
                    ","
                                
                                                                    Urdaneta
                                                            "
"
                                                1unit Townhomes 65 sqm  in Las Piñas
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                For Sale 3 Bedroom Duplex with an amazing view
                    ","
                                
                                                                    Dauis
                                                            "
"
                                                Ready for Occupancy Elegant House and lot for Sale in Marikina
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                4 Bedroom House and Lot in Tandang Sora
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Finished House and Lot for Sale in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Duplex House and Lot for sale in Cainta Rizal near Antipolo City
                    ","
                                
                                                                    Cainta
                                                            "
"
                                                3 Bedroom in Tandang Sora
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3 bedrooms 3 toilets 1 car space
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                Elegant House and Lot for Sale in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Nangka Marikina House and lot for Sale walking distance to JP RIZAL Main Road
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                Elegant House and Lot in Pasig City
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                Elegant Townhouse for sale in Don Antonio Commonwealth Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Elegant House and Lot for Sale in Cainta Rizal
                    ","
                                
                                                                    Cainta
                                                            "
"
                                                Single Attached House and Lot in Antipolo
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Modern House and Lot for Sale in Taytay Rizal
                    ","
                                
                                                                    Taytay
                                                            "
"
                                                Single Attached House and Lot for Sale in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                3bedrooms 3 toilets 1 car space
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                House and Lot with Swimming Pool
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                RFO House and lot for Sale in COncepcion Dos Along the Hway
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                Single Detached House and Lot
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Elegant Corner House and lot for Sale in San Mateo Thru Pag ibig and Bank
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Elegant House and Lot for Sale in Antipolo City near Marikina City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Premiere Overlooking House and Lot for Sale in Taytay Rizal near Antipolo City
                    ","
                                
                                                                    Taytay
                                                            "
"
                                                Single Detached House and Lot in Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                10percent dp only 3 Storey Townhouse for Sale in Marikina near Puregold Baytree
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                Townhouse for Sale in Champaca St Fortune Marikina near CB Mall
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                4 Bedroom House and Lot in Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                2 Carpark Townhouse for Sale in Marikina near MArist and CB Mall
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                3 Bedroom House and Lot in Antipolo
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                Affordable Mid Rise House for Sale in Taytay Flood free and Thru Bank Pag ibiig
                    ","
                                
                                                                    Taytay
                                                            "
"
                                                Elegant RFO House For Sale-Overlooking Scenery Near CB Mall & Flood Free
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                2 bedrooms and 1 toilet and bath 1 car garage
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                Ready for Occupancy Elegant House for Sale in Marikina Near Olops and Puregold B
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                RFO Nangka Marikina House for Sale walking distance to JP RIZAL Main Road
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                Low dp only 3 Storey Townhouse for Sale in Marikina near Puregold Baytree
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                Modern Townhouse for Sale in Marikina City
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                Elegant Townhouse in Nangka Marikina City
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                2 bedrooms 1 toilet
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                3 bedrooms 2 toilets and bath
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                3 Storey Townhouse for Sale in Marikina
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                Modern House and Lot in Antipolo Sun valley Golf and Residential Estate
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                House and Lot for sale in Marikina City
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                2 bedrooms 1 toilet
                    ","
                                
                                                                    San Mateo
                                                            "
"
                                                10percent dp only 3 Storey Townhouse for Sale in Marikina near Puregold Baytree
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                2 carpark Townhouse for Sale in Marikina Heights
                    ","
                                
                                                                    Marikina
                                                            "
"
                                                house for sale in greenwoods pasig
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                4 Bedroom Modern Townhouse Quezon City Near Trinoma
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                New Pre-Selling Townhouse For Sale At Tres Hermanas Subd. Antipolo
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                New Townhouse For Sale Along Marcos-Hi Way Masinag Antipolo
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                New RFO 54 sqm Townhouse For Sale At Paseo De Jesus Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                House and lot for sale in Cabuyao Laguna - St. Joseph Windfield
                    ","
                                
                                                                    Cabuyao
                                                            "
"
                                                For Sale Semi Furnished House in Mandaue City Cebu 4 Bedrooms
                    ","
                                
                                                                    Mandaue
                                                            "
"
                                                House and Lot For Sale in McKinley Hill Village Taguig
                    ","
                                
                                                                    Taguig
                                                            "
"
                                                Queensville town homes, Greenview Executive Village West fairview Q.c.
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                duplex house in verdant hills villas beside greenvalley BAGUIO CITY
                    ","
                                
                                                                    Baguio
                                                            "
"
                                                Don Jose Heights Brgy. Commonwealth QC
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                7M For Sale House and Lot Greenwoods Pasig
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                Duplex house in verdant hills baguio city near marcos hi way
                    ","
                                
                                                                    Baguio
                                                            "
"
                                                13.2M House and Lot with Pool for Sale Greenwoods Pasig
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                House and Lot in Angono Near SM Angono
                    ","
                                
                                                                    Angono
                                                            "
"
                                                House and lot in Antipolo City near Shopwise Ready for Occupancy
                    ","
                                
                                                                    Antipolo
                                                            "
"
                                                House and Lot in Binan Laguna, Brentville Mamplasan. Spot 2,027,960 Move In.
                    ","
                                
                                                                    Biñan
                                                            "
"
                                                Pre-Selling Town House for Sale in Mandaluyong near JRU
                    ","
                                
                                                                    Mandaluyong
                                                            "
"
                                                RFO Ready for Occupancy near Sm San Mateo
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Affordable Homes 3Bedroom
                    ","
                                
                                                                    Dasmariñas
                                                            "
"
                                                Parañaque Brandnew Townhouse near Dr A. Santos Ave
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                Brandnew 3 storey townhouse in pasay near Libertad EDSA MRT
                    ","
                                
                                                                    Pasay
                                                            "
"
                                                RFO- Ready for Occupancy For Sale Promo 10percent Down Payment
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3 bedroom townhouse beside Techno Park rent to own
                    ","
                                
                                                                    Carmona
                                                            "
"
                                                House in Taytay, Rizal
                    ","
                                
                                                                    Taytay
                                                            "
"
                                                House and Lot in Taytay Rizal
                    ","
                                
                                                                    Taytay
                                                            "
"
                                                Manila 2Storey Townhouse for Sale near A.Linao
                    ","
                                
                                                                    Manila
                                                            "
"
                                                House and Lot in Taytay,Rizal Near SM Taytay
                    ","
                                
                                                                    Taytay
                                                            "
"
                                                With Swimming pool House and Lot for sale Tivoli Royale Executive Home
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                San Juan Townhouse with Own Gate nr Dominican and Aquinas F. Manalo
                    ","
                                
                                                                    San Juan
                                                            "
"
                                                House and Lot for sale in Tandang Sora Quezon City 8.9M
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Duplex in BFRV for sale
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                House & Lot For Sale In Bel Air II , Makati
                    ","
                                
                                                                    Makati
                                                            "
"
                                                Mandaluyong City Townhouse For Sale nr Acacia Lane Shaw Boulevard RFO
                    ","
                                
                                                                    Mandaluyong
                                                            "
"
                                                One Pavilion Place - (8th Floor) 1 Bedroom for Sale in Cebu
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                Brand new 250 sqm house and lot in Greenwoods executive village pasig
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                One Pavilion Place - (8th Floor) 2 Bedroom for Sale in Cebu
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                P2.7M Townhouse For Sale in MONTVILLE PLACE, Sauyo QC
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                2-Bedroom House&Lot in Victorias City, Neg. Occ.
                    ","
                                
                                                                    Victorias
                                                            "
"
                                                6.235M TOWNHOUSE FOR SALE IN TANDANG SORA, MINDANAO AVE QUEZON CITY
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                One Pavilion Place - (20th Floor) 2 Bedroom with Balcony for Sale in Cebu
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                Townhouse 145 sqm in Scout area near ABS-CBN Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Owner built solid structures with high quality materials
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Fully Furnish Home for sale in Monterazzas, Guadalupe Cebu City
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                Elegant house and lot with 2 car park in Pristina North Talamban Cebu
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                Ready for Occupancy house with 2 car park in Guadalupe Cebu City
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                3 bedroom ready for occupancy house and lot in Talamban Cebu City
                    ","
                                
                                                                    Lapu-Lapu
                                                            "
"
                                                Townhouse for Sale in Binangonan Rizal
                    ","
                                
                                                                    Binangonan
                                                            "
"
                                                vicinity of Capitol Hills House and Lot For Sale in Quezon City 13.5M
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Vicinity of Capitol Hills House and Lot For Sale in Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                UP Village House and Lot For Sale
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                BF Homes Paranaque Townhouse for sale
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                Townhouse for Sale in Daanghari Muntinlupa
                    ","
                                
                                                                    Muntinlupa
                                                            "
"
                                                4 bedrooms Duplex House and Lot in Aitana Pilar Las Pinas
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Primavera Homes Alabang Townhouse for sale
                    ","
                                
                                                                    Muntinlupa
                                                            "
"
                                                Pre selling 3 bedrooms Camella House & Lot in Dumaguete
                    ","
                                
                                                                    Dumaguete
                                                            "
"
                                                3-Storey Town House in Quezon City - Ready for Occupancy
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Single Attached 3 Bedrooms House and Lot in BF Paranaque near SM BF
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                House and lot for sale in North Susana Executive Village
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3 Bedroom Manila Townhouse for sale near Santa Ana Church, Makati
                    ","
                                
                                                                    Manila
                                                            "
"
                                                3- STRY TOWNHOUSE INSIDE SUDB. IN PROJECT 8 GDR- 0185
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                For Sale Santa Ana Manila Townhouse with 3bEdroom 7M only All In
                    ","
                                
                                                                    Manila
                                                            "
"
                                                4BR TOWNHOUSE IN CONGRESSIONAL AVENUE, TANDANG SORA, QUEZON CITY GDR-
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                BRANDNEW HOUSE AND LOT IN DONA CARMEN COMMONWEALTH QC- GDR 0164
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                House and Lot in Las Pinas City FOR SALE (RUSH)
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Near Nuvali Solenad, Paseo Sta rosa, 3 bedroom 2 car garage
                    ","
                                
                                                                    Santa Rosa
                                                            "
"
                                                4BR Camella House and Lot For Sale
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                MODERN TOWNHOUSE NEAR MINDANAO AVE DP 24MONTHS TO PAY- GDR 0156
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3BR Townhouse for Sale in Dona Manuela 1
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                3-STOREY 4BR TOWNHOUSE IN TEACHERS VILLAGE QC GDR- 0245
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3BR Townhouse near Mindanao Ave., QC HBC Depot DP Terms  GDR- 0043
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3 Storey Townhouse in East Fairview Q.C GDR- 0231
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                House and Lot in Cavite 2k monthly thru PAGIBIG
                    ","
                                
                                                                    Naic
                                                            "
"
                                                BUNGALOW IN BF HOMES PARANAQUE - Php 8.M Gross
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                4 Bedroom Modern Villa in Boracay
                    ","
                                
                                                                    Malay
                                                            "
"
                                                Brand New Pre-selling Palanan Makati Triplex Townhouse For Sale
                    ","
                                
                                                                    Makati
                                                            "
"
                                                4Br Single Attached House and Lot near FEU Hospital Fairview Qc
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Single Attached House & Lot For Sale in Camella Silang Tagaytay Cavite
                    ","
                                
                                                                    Silang
                                                            "
"
                                                House & Lot Single Detached For Sale Santoso Villas at Nusa Dua Cavite.
                    ","
                                
                                                                    Tanza
                                                            "
"
                                                3Storey Ready for Occupancy Townhouse for Sale in Manila near UST
                    ","
                                
                                                                    Manila
                                                            "
"
                                                Brandnew Townhouse in Mandaluyong near Shaw
                    ","
                                
                                                                    Mandaluyong
                                                            "
"
                                                Sampaloc Manila Townhouse for Sale near UST .WITH 1 Car garage
                    ","
                                
                                                                    Manila
                                                            "
"
                                                3Br LA: 240sqm FA:87sqm. House and Lot. GSIS Hills Subdivision, Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Preselling Townhouse in Lapu-lapu City Cebu
                    ","
                                
                                                                    Lapu-Lapu
                                                            "
"
                                                House & Lot For Sale Dorina Uphill in Camella Silang Tagaytay Cavite
                    ","
                                
                                                                    Silang
                                                            "
"
                                                Pasig 3Storey Townhouse for Sale near Pasig General Hospital
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                Elegant Luxury Townhouse for Sale near N.Domingo
                    ","
                                
                                                                    San Juan
                                                            "
"
                                                Elegant 149 sqmTownhouse in BF Resort Las pinas near CAA Road SM Southmall
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                3bedrooms House in Cresta Verde near Mindanao Avenue Qc
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                The Villas Townhouse
                    ","
                                
                                                                    Dasmariñas
                                                            "
"
                                                Beautiful House and Lot in Greenview Executive Village Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                The Enclave @ pueblo de oro golf estate
                    ","
                                
                                                                    Cagayan de Oro
                                                            "
"
                                                Clean Title House and Lot in West Fairview Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
