PropertyDescription,Address,Sqm
For Sale Residential Farm 192 sqm. ,"Mendez (Mendez-Nuñez), Cavite","₱ 7,500/sqm"
"For Sale Agricultural Farm 45,000 sqm. ","Polomolok, South Cotabato",₱ 111/sqm
For Sale Residential Farm 207 sqm. ,"Pililla, Rizal","₱ 2,000/sqm"
For Sale Residential Farm 228 sqm. ,"Indang, Cavite","₱ 5,000/sqm"
"For Sale Residential Farm 50,000 sqm. ","Santo Tomas, Batangas","₱ 2,000/sqm"
"For Sale Agro-Industrial Farm 3,000 sqm. ","Guimba, Nueva Ecija","₱ 6,800/sqm"
"For Sale Agricultural Farm 170,000 sqm. ","San Juan, Batangas",₱ 200/sqm
"For Sale Agricultural Farm 15,000 sqm. ","Indang, Cavite","₱ 2,000/sqm"
"For Sale Residential Farm 1,000 sqm. ","Alfonso, Cavite","₱ 3,800/sqm"
"For Sale Residential Farm 1,000 sqm. ","Alfonso, Cavite","₱ 3,500/sqm"
"For Sale Agro-Industrial Farm 3,000 sqm. ","Guimba, Nueva Ecija","₱ 6,800/sqm"
"For Sale Residential Farm 1,350 sqm. ","Angono, Rizal","₱ 9,000/sqm"
For Sale Residential Farm 100 sqm. ,"Teresa, Rizal","₱ 4,000/sqm"
"For Sale Agricultural Farm 15,000 sqm. ","Indang, Cavite","₱ 2,000/sqm"
For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite","₱ 4,500/sqm"
For Sale Residential Farm 100 sqm. ,"Tanay, Rizal","₱ 6,500/sqm"
"For Sale Residential Farm 1,000 sqm. ","Amadeo, Cavite","₱ 3,800/sqm"
For Sale Residential 150 sqm. ,"Baras, Rizal","₱ 9,500/sqm"
"For Sale Residential Farm 30,000 sqm. ","Cuyapo, Nueva Ecija","₱ 1,000/sqm"
For Sale Residential 350 sqm. ,"Magallanes, Cavite","₱ 2,800/sqm"
"For Sale Raw Land 10,000 sqm. ","Alfonso, Cavite",₱ 400/sqm
"For Sale Residential Farm 1,000 sqm. ","Tiaong, Quezon",₱ 800/sqm
For Sale Residential Farm 100 sqm. ,"Tuy, Batangas","₱ 5,100/sqm"
"For Sale Agricultural Farm 1,260 sqm. ","Lemery, Batangas","₱ 5,000/sqm"
"For Sale Agricultural Farm 4,500 sqm. ","Indang, Cavite","₱ 2,500/sqm"
"For Sale Residential Farm 9,318 sqm. ","Paniqui, Tarlac","₱ 1,287/sqm"
For Sale Residential Farm 300 sqm. ,"Indang, Cavite","₱ 4,750/sqm"
For Sale Agricultural Farm 137 sqm. ,"Trece Martires, Cavite","₱ 5,500/sqm"
For Sale Residential Farm 150 sqm. ,"Amadeo, Cavite","₱ 5,500/sqm"
For Sale Agricultural Farm 250 sqm. ,"Mendez (Mendez-Nuñez), Cavite","₱ 4,500/sqm"
"For Sale Agricultural Farm 37,000 sqm. ","Tanauan, Batangas","₱ 1,000/sqm"
For Sale Residential Farm 150 sqm. ,"Amadeo, Cavite","₱ 5,000/sqm"
For Sale Residential Farm 300 sqm. ,"Jalajala, Rizal","₱ 1,800/sqm"
For Sale Agricultural Farm 287 sqm. ,"Ibaan, Batangas","₱ 7,752/sqm"
"For Sale Residential Farm 5,000 sqm. ","Rosario, Batangas",₱ 490/sqm
"For Sale Agricultural Farm 10,061 sqm. ","Abucay, Bataan","₱ 3,776/sqm"
For Sale Residential Farm 900 sqm. ,"Laurel, Batangas","₱ 1,500/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 4,500/sqm"
For Sale Residential Farm 200 sqm. ,"Mabini, Bohol","₱ 1,000/sqm"
"For Sale Agricultural Farm 14,441 sqm. ","Sariaya, Quezon",₱ 200/sqm
"For Sale Agro-Industrial Farm 200,000 sqm. ","Pura, Tarlac","₱ 4,000/sqm"
"For Sale Agricultural Farm 430,000 sqm. ","Umingan, Pangasinan",₱ 83/sqm
"For Sale Agricultural Farm 40,780 sqm. ","Cabanatuan, Nueva Ecija",₱ 586/sqm
"For Sale Residential Farm 1,000 sqm. ","Alfonso, Cavite","₱ 5,500/sqm"
"For Sale Agricultural Farm 33,160 sqm. ","Concepcion, Tarlac",₱ 618/sqm
"For Sale Residential Farm 1,000 sqm. ","Tiaong, Quezon","₱ 1,200/sqm"
For Sale Residential Farm 200 sqm. ,"San Fernando, Romblon","₱ 2,500/sqm"
For Sale Residential 100 sqm. ,"Silang, Cavite","₱ 9,095/sqm"
"For Sale Residential Farm 30,000 sqm. ","Rosario, La Union","₱ 1,166/sqm"
"For Sale Agricultural Farm 13,287 sqm. ","San Fernando, Camarines Sur","₱ 1,800/sqm"
For Sale Residential Farm 100 sqm. ,"Morong, Rizal","₱ 4,500/sqm"
For Sale Residential Farm 50 sqm. ,"Tanay, Rizal","₱ 4,000/sqm"
For Sale Residential Farm 150 sqm. ,"Amadeo, Cavite","₱ 5,500/sqm"
"For Sale Residential Farm 1,000 sqm. ","Tabuelan, Cebu","₱ 1,000/sqm"
For Sale Residential Farm 100 sqm. ,"Norzagaray, Bulacan","₱ 2,700/sqm"
"For Sale Agro-Industrial Farm 22,298 sqm. ","Siruma, Camarines Sur",₱ 649/sqm
For Sale Agricultural Farm 500 sqm. ,"Clarin, Bohol","₱ 1,000/sqm"
"For Sale Agricultural Farm 100,064 sqm. ","Maddela, Quirino",₱ 149/sqm
"For Sale Agricultural Farm 32,292 sqm. ","Tagaytay, Cavite","₱ 14,000/sqm"
"For Sale Agricultural Farm 24,038 sqm. ","Apalit, Pampanga","₱ 1,000/sqm"
"For Sale Agricultural Farm 3,705 sqm. ","Tagaytay, Cavite","₱ 6,700/sqm"
"For Sale Agricultural Farm 5,200 sqm. ","Santa Maria, Bulacan","₱ 6,500/sqm"
"For Sale Agricultural Farm 2,960 sqm. ","Santa Maria, Bulacan","₱ 3,500/sqm"
"For Sale Agricultural Farm 83,000 sqm. ","Apalit, Pampanga","₱ 3,500/sqm"
"For Sale Agricultural Farm 8,600 sqm. ","Julita, Leyte",₱ 116/sqm
"For Sale Agricultural Farm 22,758 sqm. ","Santa Ana, Pampanga","₱ 1,700/sqm"
"For Sale Agricultural Farm 172,000 sqm. ","San Fernando, Camarines Sur",₱ 250/sqm
"For Sale Agricultural Farm 2,755,000 sqm. ","Alangalang, Leyte",₱ 150/sqm
"For Sale Agricultural Farm 52,000 sqm. ","Mayorga, Leyte",₱ 400/sqm
"For Sale Agricultural Farm 3,000 sqm. ","San Fernando, Pampanga","₱ 5,600/sqm"
"For Sale Agricultural Farm 39,312 sqm. ","Castillejos, Zambales","₱ 1,144/sqm"
"For Sale Agricultural Farm 520,373 sqm. ","Bagac, Bataan",₱ 650/sqm
For Sale Agricultural Farm 400 sqm. ,"Alfonso, Cavite","₱ 4,500/sqm"
"For Sale Agricultural Farm 51,710 sqm. ","Apalit, Pampanga","₱ 6,000/sqm"
"For Sale Agricultural Farm 46,649 sqm. ","Umingan, Pangasinan",₱ 385/sqm
"For Sale Agricultural Farm 6,958 sqm. ","San Jose, Tarlac","₱ 1,700/sqm"
For Sale Agricultural Farm 200 sqm. ,"Tanay, Rizal","₱ 5,000/sqm"
"For Sale Agricultural Farm 23,800 sqm. ","Lucena, Quezon",₱ 600/sqm
For Sale Agricultural Farm 100 sqm. ,"Jalajala, Rizal","₱ 2,800/sqm"
For Sale Residential 240 sqm. ,"Carmona, Cavite","₱ 27,770/sqm"
For Sale Agricultural Farm 200 sqm. ,"Tanay, Rizal","₱ 5,000/sqm"
"For Sale Agricultural Farm 57,340 sqm. ","Porac, Pampanga","₱ 1,500/sqm"
"For Sale Agricultural Farm 3,561 sqm. ","Angeles, Pampanga","₱ 3,000/sqm"
"For Sale Agricultural Farm 95,000 sqm. ","Baao, Camarines Sur",₱ 49/sqm
"For Sale Agricultural Farm 9,000 sqm. ","Alfonso, Cavite","₱ 4,500/sqm"
"For Sale Agricultural Farm 340,000 sqm. ","Iba, Zambales",₱ 550/sqm
"For Sale Agricultural Farm 1,000 sqm. ","Santa Catalina, Negros Oriental",₱ 400/sqm
"For Sale Residential Farm 30,000 sqm. ","Cabucgayan, Biliran",₱ 73/sqm
"For Sale Agricultural Farm 290,271 sqm. ","Mabini, Pangasinan",₱ 80/sqm
"For Sale Agricultural Farm 160,882 sqm. ","Capas, Tarlac","₱ 1,500/sqm"
"For Sale Agricultural Farm 7,889 sqm. ","Urdaneta, Pangasinan","₱ 2,700/sqm"
For Sale Residential 100 sqm. ,"Lipa, Batangas","₱ 11,424/sqm"
"For Sale Agricultural Farm 9,720 sqm. ","Bantayan, Cebu",₱ 800/sqm
"For Sale Agricultural Farm 5,143 sqm. ","Amadeo, Cavite","₱ 3,500/sqm"
"For Sale Agricultural Farm 17,505 sqm. ","Silang, Cavite","₱ 4,500/sqm"
"For Sale Agricultural Farm 15,249 sqm. ","Bantayan, Cebu",₱ 799/sqm
For Sale Residential 100 sqm. ,"Lipa, Batangas","₱ 9,253/sqm"
For Sale Residential Farm 541 sqm. ,"General Emilio Aguinaldo, Cavite","₱ 2,800/sqm"
For Sale Residential Farm 100 sqm. ,"San Juan, Batangas","₱ 2,800/sqm"
"For Sale Residential Farm 28,000 sqm. ","Borbon, Cebu",₱ 71/sqm
For Sale Residential Farm 200 sqm. ,"Amadeo, Cavite","₱ 5,000/sqm"
For Sale Commercial 330 sqm. ,"Silang, Cavite","₱ 24,000/sqm"
"For Sale Residential Farm 190,000 sqm. ","Gapan, Nueva Ecija",₱ 700/sqm
For Sale Residential 120 sqm. ,"Lipa, Batangas","₱ 8,512/sqm"
"For Sale Agricultural Farm 9,175 sqm. ","Porac, Pampanga","₱ 2,016/sqm"
"For Sale Residential Farm 2,000 sqm. ","Santa Maria, Bulacan","₱ 3,000/sqm"
For Sale Commercial 300 sqm. ,"San Juan, Batangas","₱ 30,666/sqm"
For Sale Residential Farm 100 sqm. ,"Tanay, Rizal","₱ 3,000/sqm"
"For Sale Residential Farm 46,604 sqm. ","Santa Barbara, Pangasinan","₱ 3,500/sqm"
For Sale Residential Farm 200 sqm. ,"Alfonso, Cavite","₱ 10,000/sqm"
For Sale Residential 504 sqm. ,"Lipa, Batangas","₱ 19,841/sqm"
For Sale Residential Farm 638 sqm. ,"General Trias, Cavite","₱ 6,500/sqm"
"For Sale Residential Farm 13,390 sqm. ","San Jose del Monte, Bulacan","₱ 3,500/sqm"
For Sale Residential 291 sqm. ,"Laurel, Batangas","₱ 20,000/sqm"
For Sale Residential 604 sqm. ,"Biñan, Laguna","₱ 28,074/sqm"
For Sale Residential 150 sqm. ,"Lipa, Batangas","₱ 9,012/sqm"
For Sale Residential Farm 100 sqm. ,"Tanay, Rizal","₱ 3,200/sqm"
For Sale Residential 224 sqm. ,"San Pablo, Laguna","₱ 10,877/sqm"
For Sale Residential 241 sqm. ,"Alfonso, Cavite","₱ 5,500/sqm"
For Sale Residential Farm 180 sqm. ,"Baliuag, Bulacan","₱ 9,551/sqm"
For Sale Residential 150 sqm. ,"Lipa, Batangas","₱ 6,666/sqm"
For Sale Residential Farm 252 sqm. ,"Silang, Cavite","₱ 6,500/sqm"
For Sale Residential 204 sqm. ,"Biñan, Laguna","₱ 39,146/sqm"
For Sale Residential 200 sqm. ,"Talisay, Batangas","₱ 7,500/sqm"
For Sale Residential Farm 100 sqm. ,"Jalajala, Rizal","₱ 3,000/sqm"
"For Sale Commercial 32,292 sqm. ","Tagaytay, Cavite","₱ 14,000/sqm"
"For Sale Residential Farm 10,323 sqm. ","Santa Maria, Laguna","₱ 1,210/sqm"
For Sale Residential Farm 50 sqm. ,"Pililla, Rizal","₱ 4,000/sqm"
For Sale Residential 523 sqm. ,"Antipolo, Rizal","₱ 17,500/sqm"
For Sale Residential Farm 240 sqm. ,"Antipolo, Rizal","₱ 7,995/sqm"
"For Sale Agro-Industrial Farm 10,000 sqm. ","Villasis, Pangasinan","₱ 1,200/sqm"
For Sale Residential 100 sqm. ,"Silang, Cavite","₱ 8,000/sqm"
"For Sale Residential Farm 4,750 sqm. ","Indang, Cavite",₱ 294/sqm
For Sale Residential 400 sqm. ,"Balete, Batangas","₱ 10,000/sqm"
"For Sale Agricultural Farm 200,000 sqm. ","Sablayan, Occidental Mindoro",₱ 35/sqm
For Sale Residential 120 sqm. ,"Pililla, Rizal","₱ 9,000/sqm"
For Sale Residential 400 sqm. ,"Lipa, Batangas","₱ 22,400/sqm"
For Sale Residential 197 sqm. ,"Cebu City, Cebu","₱ 16,400/sqm"
For Sale Residential 192 sqm. ,"Silang, Cavite","₱ 5,500/sqm"
For Sale Residential 225 sqm. ,"Santa Rosa, Laguna","₱ 39,000/sqm"
For Sale Residential 319 sqm. ,"Alabang, Muntinlupa, Metro Manila","₱ 77,398/sqm"
For Sale Residential 300 sqm. ,"Tanza, Cavite","₱ 8,288/sqm"
For Sale Residential 686 sqm. ,"Lipa, Batangas","₱ 47,084/sqm"
"For Sale Commercial 3,819 sqm. ","Silang, Cavite","₱ 10,750/sqm"
For Sale Residential 572 sqm. ,"Baguio, Benguet","₱ 19,000/sqm"
For Sale Residential 400 sqm. ,"Tagaytay, Cavite","₱ 22,222/sqm"
For Sale Residential 400 sqm. ,"Calatagan, Batangas","₱ 19,600/sqm"
For Sale Residential 398 sqm. ,"Nasugbu, Batangas","₱ 15,000/sqm"
For Sale Residential 275 sqm. ,"Tagaytay, Cavite","₱ 16,000/sqm"
"For Sale Residential Farm 20,000 sqm. ","Mariveles, Bataan","₱ 1,000/sqm"
For Sale Residential 120 sqm. ,"Lipa, Batangas","₱ 10,012/sqm"
"For Sale Commercial 1,251,779 sqm. ","Laurel, Batangas","₱ 2,000/sqm"
"For Sale Industrial 4,689 sqm. ","Quezon City / QC, Metro Manila","₱ 65,000/sqm"
For Sale Residential 250 sqm. ,"Calatagan, Batangas","₱ 5,200/sqm"
For Sale Residential 185 sqm. ,"Calamba, Laguna","₱ 35,000/sqm"
For Sale Residential 328 sqm. ,"Taytay, Rizal","₱ 41,893/sqm"
"For Sale Commercial 15,469 sqm. ","San Fernando, Pampanga","₱ 12,000/sqm"
For Sale Residential 474 sqm. ,"Angono, Rizal","₱ 26,212/sqm"
For Sale Raw Land 331 sqm. ,"Malolos, Bulacan","₱ 18,126/sqm"
"For Sale Agricultural Farm 1,380,000 sqm. ","Malaybalay, Bukidnon",₱ 700/sqm
"For Sale Agricultural Farm 5,462 sqm. ","Alfonso, Cavite","₱ 6,000/sqm"
For Sale Residential 500 sqm. ,"Santa Rosa, Laguna","₱ 32,000/sqm"
"For Sale Commercial 2,115 sqm. ","Kawit, Cavite","₱ 181,295/sqm"
"For Sale Raw Land 370,000 sqm. ","Tanay, Rizal",₱ 400/sqm
For Sale Residential 500 sqm. ,"Tagaytay, Cavite","₱ 9,500/sqm"
"For Sale Residential Farm 1,200 sqm. ","Trece Martires, Cavite","₱ 4,500/sqm"
For Sale Residential 212 sqm. ,"Tagaytay, Cavite","₱ 9,000/sqm"
For Sale Residential 300 sqm. ,"Lipa, Batangas","₱ 10,000/sqm"
For Sale Residential 375 sqm. ,"Nasugbu, Batangas","₱ 12,500/sqm"
For Sale Raw Land 534 sqm. ,"Antipolo, Rizal","₱ 22,500/sqm"
For Sale Residential 323 sqm. ,"Tagaytay, Cavite","₱ 16,000/sqm"
For Sale Residential 180 sqm. ,"Tayabas, Quezon","₱ 32,855/sqm"
For Sale Residential Farm 200 sqm. ,"Amadeo, Cavite","₱ 5,000/sqm"
For Sale Residential 280 sqm. ,"Tanza, Cavite","₱ 47,853/sqm"
For Sale Residential 286 sqm. ,"Tagaytay, Cavite","₱ 26,223/sqm"
For Sale Residential 271 sqm. ,"Tagaytay, Cavite","₱ 13,307/sqm"
For Sale Residential 300 sqm. ,"Santa Rosa, Laguna","₱ 28,520/sqm"
For Sale Residential 271 sqm. ,"Tagaytay, Cavite","₱ 13,307/sqm"
"For Sale Residential Farm 1,200 sqm. ","Trece Martires, Cavite","₱ 4,500/sqm"
For Sale Residential 190 sqm. ,"Subic, Zambales","₱ 7,368/sqm"
For Sale Residential 197 sqm. ,"Marilao, Bulacan","₱ 8,121/sqm"
For Sale Residential 973 sqm. ,"Biñan, Laguna","₱ 37,279/sqm"
For Sale Residential 100 sqm. ,"Consolacion, Cebu","₱ 9,000/sqm"
For Sale Residential 252 sqm. ,"Biñan, Laguna","₱ 23,940/sqm"
For Sale Residential Farm 200 sqm. ,"Amadeo, Cavite","₱ 5,000/sqm"
For Sale Residential 300 sqm. ,"Marikina, Metro Manila","₱ 75,000/sqm"
For Sale Residential 120 sqm. ,"Tanauan, Batangas","₱ 11,140/sqm"
For Sale Residential 224 sqm. ,"Bacoor, Cavite","₱ 35,357/sqm"
For Sale Residential 366 sqm. ,"Antipolo, Rizal","₱ 51,156/sqm"
For Sale Residential 63 sqm. ,"Santa Maria, Bulacan","₱ 33,253/sqm"
For Sale Residential 212 sqm. ,"San Jose del Monte, Bulacan","₱ 18,679/sqm"
"For Sale Residential 13,634 sqm. ","Carles, Iloilo",₱ 623/sqm
For Sale Residential 647 sqm. ,"Antipolo, Rizal","₱ 21,000/sqm"
For Sale Residential 146 sqm. ,"Calumpit, Bulacan","₱ 11,100/sqm"
"For Sale Commercial 1,050 sqm. ","Alabang, Muntinlupa, Metro Manila","₱ 197,348/sqm"
For Sale Residential 83 sqm. ,"Pililla, Rizal","₱ 5,500/sqm"
For Sale Residential 450 sqm. ,"Tagaytay, Cavite","₱ 11,111/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 6,380/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 6,380/sqm"
For Sale Residential 83 sqm. ,"Pililla, Rizal","₱ 5,500/sqm"
For Sale Residential 267 sqm. ,"Tagaytay, Cavite","₱ 20,000/sqm"
For Sale Residential 100 sqm. ,"Binmaley, Pangasinan","₱ 7,000/sqm"
For Sale Residential 72 sqm. ,"Morong, Rizal","₱ 5,833/sqm"
For Sale Residential 100 sqm. ,"Calatagan, Batangas","₱ 5,500/sqm"
For Sale Residential 200 sqm. ,"Catigbian, Bohol","₱ 1,500/sqm"
For Sale Residential 260 sqm. ,"Alfonso, Cavite","₱ 20,000/sqm"
For Sale Commercial 845 sqm. ,"Quezon City / QC, Metro Manila","₱ 65,000/sqm"
For Sale Residential 844 sqm. ,"Alburquerque, Bohol","₱ 1,895/sqm"
For Sale Residential 153 sqm. ,"Nuvali, Santa Rosa, Laguna","₱ 37,673/sqm"
For Sale Residential 200 sqm. ,"Angono, Rizal","₱ 15,000/sqm"
For Sale Residential 150 sqm. ,"Alfonso, Cavite","₱ 5,800/sqm"
For Sale Residential 299 sqm. ,"Tagaytay, Cavite","₱ 20,000/sqm"
For Sale Residential 553 sqm. ,"Santa Rosa, Laguna","₱ 39,151/sqm"
For Sale Residential 123 sqm. ,"Alfonso, Cavite","₱ 10,000/sqm"
For Sale Residential 300 sqm. ,"Nasugbu, Batangas","₱ 11,000/sqm"
For Sale Residential 306 sqm. ,"Las Piñas, Metro Manila","₱ 70,000/sqm"
For Sale Residential 306 sqm. ,"Alabang, Muntinlupa, Metro Manila","₱ 70,000/sqm"
For Sale Residential 185 sqm. ,"Liloan, Cebu","₱ 14,784/sqm"
"For Sale Commercial 14,919 sqm. ","Baliuag, Bulacan","₱ 6,200/sqm"
For Sale Residential Farm 100 sqm. ,"San Francisco, Cebu","₱ 4,200/sqm"
For Sale Residential 180 sqm. ,"Baliuag, Bulacan","₱ 10,514/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 6,380/sqm"
"For Sale Others 120,000 sqm. ","Bugallon, Pangasinan",₱ 200/sqm
For Sale Residential 400 sqm. ,"Silang, Cavite","₱ 4,000/sqm"
For Sale Residential 460 sqm. ,"Taguig, Metro Manila","₱ 119,565/sqm"
For Sale Residential 565 sqm. ,"Mendez (Mendez-Nuñez), Cavite","₱ 6,000/sqm"
For Sale Residential 300 sqm. ,"Mactan, Lapu-Lapu, Cebu","₱ 20,000/sqm"
"For Sale Raw Land 50,000 sqm. ","Talakag, Bukidnon",₱ 70/sqm
For Sale Residential 180 sqm. ,"Tagaytay, Cavite","₱ 11,000/sqm"
For Sale Residential 300 sqm. ,"Loyola Heights, Quezon City / QC, Metro Manila","₱ 75,000/sqm"
For Sale Residential 100 sqm. ,"Santo Tomas, Batangas","₱ 11,500/sqm"
For Sale Residential 350 sqm. ,"San Fernando, Pampanga","₱ 18,000/sqm"
For Sale Residential 486 sqm. ,"Cebu City, Cebu","₱ 30,133/sqm"
For Sale Residential 300 sqm. ,"San Fernando, La Union","₱ 7,000/sqm"
For Sale Residential 258 sqm. ,"Lipa, Batangas","₱ 33,495/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 41,550/sqm"
For Sale Residential 100 sqm. ,"Cebu City, Cebu","₱ 5,000/sqm"
For Sale Residential 300 sqm. ,"Silang, Cavite","₱ 28,333/sqm"
For Sale Residential 120 sqm. ,"Trece Martires, Cavite","₱ 7,000/sqm"
For Sale Residential 300 sqm. ,"Nasugbu, Batangas","₱ 12,320/sqm"
For Sale Residential Farm 50 sqm. ,"Real, Quezon","₱ 4,000/sqm"
"For Sale Commercial 17,791 sqm. ","Tagaytay, Cavite","₱ 6,921/sqm"
For Sale Commercial 686 sqm. ,"Marilao, Bulacan","₱ 123,902/sqm"
For Sale Residential 397 sqm. ,"Biñan, Laguna","₱ 28,000/sqm"
For Sale Residential 414 sqm. ,"Las Piñas, Metro Manila","₱ 77,396/sqm"
"For Sale Residential 2,076 sqm. ","Parañaque, Metro Manila","₱ 58,000/sqm"
For Sale Residential Farm 100 sqm. ,"San Francisco, Cebu","₱ 4,200/sqm"
For Sale Residential 150 sqm. ,"Angono, Rizal","₱ 15,000/sqm"
"For Sale Commercial 6,133 sqm. ","Binangonan, Rizal","₱ 30,000/sqm"
For Sale Commercial 790 sqm. ,"Villasis, Pangasinan","₱ 2,000/sqm"
For Sale Residential 429 sqm. ,"South Road Properties, Cebu City, Cebu","₱ 13,286/sqm"
"For Sale Commercial 1,386 sqm. ","Quezon City / QC, Metro Manila","₱ 220,000/sqm"
For Sale Residential 408 sqm. ,"Tagaytay, Cavite","₱ 70,980/sqm"
For Sale Residential 350 sqm. ,"Antipolo, Rizal","₱ 36,912/sqm"
For Sale Residential 100 sqm. ,"Laoag, Ilocos Norte","₱ 2,500/sqm"
For Sale Residential 138 sqm. ,"San Jose del Monte, Bulacan","₱ 22,500/sqm"
For Sale Residential 150 sqm. ,"Cagayan de Oro, Misamis Oriental","₱ 13,975/sqm"
For Sale Residential 100 sqm. ,"Kabankalan, Negros Occidental","₱ 5,250/sqm"
"For Sale Commercial 274,141,918 sqm. ","General Trias, Cavite",₱ 0/sqm
For Sale Residential 180 sqm. ,"Dasmariñas, Cavite","₱ 9,444/sqm"
For Sale Residential Farm 193 sqm. ,"Alfonso, Cavite","₱ 5,000/sqm"
For Sale Residential 226 sqm. ,"Alfonso, Cavite","₱ 14,000/sqm"
For Sale Residential 304 sqm. ,"Cagayan de Oro, Misamis Oriental","₱ 16,000/sqm"
For Sale Residential 150 sqm. ,"Pililla, Rizal","₱ 6,000/sqm"
For Sale Residential 180 sqm. ,"Tagaytay, Cavite","₱ 18,980/sqm"
For Sale Residential 350 sqm. ,"Nuvali, Santa Rosa, Laguna","₱ 31,200/sqm"
For Sale Commercial 252 sqm. ,"Calamba, Laguna","₱ 13,613/sqm"
For Sale Residential 129 sqm. ,"Dasmariñas, Cavite","₱ 10,775/sqm"
For Sale Residential 150 sqm. ,"Lipa, Batangas","₱ 7,840/sqm"
For Sale Residential 150 sqm. ,"Calatagan, Batangas","₱ 6,500/sqm"
For Sale Residential 812 sqm. ,"Silang, Cavite","₱ 12,000/sqm"
For Sale Residential 962 sqm. ,"Bacoor, Cavite","₱ 125,000/sqm"
For Sale Residential 150 sqm. ,"San Jose del Monte, Bulacan","₱ 22,500/sqm"
For Sale Residential 120 sqm. ,"Polomolok, South Cotabato","₱ 8,000/sqm"
"For Sale Raw Land 220,000 sqm. ","Sual, Pangasinan",₱ 100/sqm
"For Sale Commercial 4,780 sqm. ","Sariaya, Quezon","₱ 8,514/sqm"
"For Sale Residential Farm 1,400 sqm. ","San Juan, Batangas","₱ 5,000/sqm"
For Sale Residential 182 sqm. ,"Malolos, Bulacan","₱ 10,000/sqm"
For Sale Residential Farm 100 sqm. ,"Ibaan, Batangas","₱ 3,500/sqm"
"For Sale Residential Farm 2,000 sqm. ","Tanza, Cavite","₱ 8,000/sqm"
For Sale Agricultural Farm 150 sqm. ,"Norzagaray, Bulacan","₱ 2,000/sqm"
For Sale Residential 218 sqm. ,"Nasugbu, Batangas","₱ 18,704/sqm"
For Sale Residential 100 sqm. ,"Lipa, Batangas","₱ 12,000/sqm"
"For Sale Residential Farm 1,400 sqm. ","Compostela, Cebu","₱ 1,200/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 30,000/sqm"
For Sale Residential Farm 120 sqm. ,"Plaridel, Bulacan","₱ 15,500/sqm"
"For Sale Commercial 6,682 sqm. ","Cebu City, Cebu","₱ 75,000/sqm"
For Sale Residential 109 sqm. ,"Binangonan, Rizal","₱ 10,091/sqm"
For Sale Residential 273 sqm. ,"Tiaong, Quezon","₱ 14,285/sqm"
"For Sale Residential 3,000 sqm. ","Angono, Rizal","₱ 7,500/sqm"
"For Sale Residential Farm 5,012 sqm. ","Baliuag, Bulacan","₱ 1,800/sqm"
For Sale Residential 273 sqm. ,"Tiaong, Quezon","₱ 14,285/sqm"
"For Sale Agricultural Farm 14,986 sqm. ","Burgos, Surigao del Norte","₱ 5,004/sqm"
"For Sale Residential Farm 5,012 sqm. ","Baliuag, Bulacan","₱ 1,800/sqm"
"For Sale Residential Farm 6,360 sqm. ","Baliuag, Bulacan","₱ 4,500/sqm"
"For Sale Commercial 4,827 sqm. ","Santa Rosa, Laguna","₱ 100,000/sqm"
"For Sale Residential 3,000 sqm. ","Angono, Rizal","₱ 7,500/sqm"
For Sale Residential 300 sqm. ,"Loyola Heights, Quezon City / QC, Metro Manila","₱ 90,462/sqm"
For Sale Residential 411 sqm. ,"Tagaytay, Cavite","₱ 70,973/sqm"
For Sale Residential 359 sqm. ,"Tagaytay, Cavite","₱ 9,000/sqm"
For Sale Residential 150 sqm. ,"Binangonan, Rizal","₱ 9,000/sqm"
For Sale Residential 100 sqm. ,"Taysan, Batangas","₱ 4,000/sqm"
For Sale Residential 519 sqm. ,"Tagaytay, Cavite","₱ 9,500/sqm"
"For Sale Residential Farm 40,000 sqm. ","Balayan, Batangas",₱ 900/sqm
For Sale Residential 306 sqm. ,"Mexico, Pampanga","₱ 5,522/sqm"
For Sale Residential 600 sqm. ,"Baliuag, Bulacan","₱ 5,000/sqm"
For Sale Residential Farm 130 sqm. ,"Trece Martires, Cavite","₱ 5,500/sqm"
For Sale Residential 120 sqm. ,"Tuy, Batangas","₱ 4,500/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Tanauan, Batangas","₱ 4,500/sqm"
For Sale Residential 80 sqm. ,"Pililla, Rizal","₱ 5,800/sqm"
"For Sale Agricultural Farm 5,145 sqm. ","San Isidro, Surigao del Norte","₱ 5,000/sqm"
For Sale Residential 180 sqm. ,"Angono, Rizal","₱ 11,000/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 7,500/sqm"
"For Sale Agricultural Farm 5,309 sqm. ","Dapa, Surigao del Norte","₱ 5,085/sqm"
For Sale Residential 96 sqm. ,"Malolos, Bulacan","₱ 46,156/sqm"
"For Sale Residential 1,783 sqm. ","Binmaley, Pangasinan","₱ 2,000/sqm"
For Sale Residential 188 sqm. ,"Marilao, Bulacan","₱ 21,271/sqm"
For Sale Residential 245 sqm. ,"Cebu City, Cebu","₱ 38,000/sqm"
